id,title,type,s/pv,year,meeting_number,day_date_time,president,members,agenda,text
1,Afghanistan_Situation_1477081,0,None,None,"8199
th meeting",None,President: Mrs Kaag ,"Bolivia (Plurinational State of) Ms Cardona Moscoso
China Mr Ma Zhaoxu
C??te d?€?Ivoire Mr Tanoh-Boutchoue
Equatorial Guinea Mrs Mele Colifa
Ethiopia Ms Guadey
France Mrs Gueguen
Kazakhstan Mr Vassilenko
Kuwait Mr Alotaibi
Peru Mr Meza-Cuadra
Poland Ms Wronecka
Russian Federation Mr Nebenzia
Sweden Ms S??der
United Kingdom of Great Britain and Northern Ireland Ms Andreyeva
United States of America Ms Tachco",The situation in Afghanistan,
2,Afghanistan_Situation_1477081,1,,,,,,,,"The meeting was called to order at 10.10 a.m.

Adoption of the agenda
The agenda was adopted.

The situation in Afghanistan

Report of the Secretary-General on the
situation in Afghanistan and its implications for
international peace and security (S/2018/165)

The President: In accordance with rule 37 of the
Council?€?s provisional rules of procedure, I invite the
representatives of Afghanistan, Australia, Belgium,
Canada, Germany, India, the Islamic Republic of Iran,
Italy, Pakistan and Turkey to participate in this meeting."
3,Afghanistan_Situation_1477081,2,,,,,,,,"On behalf of the Security Council, I welcome Her
Excellency Ms. Julie Bishop, Minister for Foreign
Affairs of Australia.

In accordance with rule 39 of the Council?€?s
provisional rules of procedure, I invite the following
briefers to participate in this meeting: Mr. Tadamichi
Yamamoto, Special Representative of the Secretary-
General and Head of the United Nations Assistance
Mission in Afghanistan; Ms. Habiba Sarabi, Deputy
Chairperson of the Afghan High Peace Council;
and Ms. Mariam Safi, Executive Director of the
Organization for Policy Research and Development
Studies."
4,Afghanistan_Situation_1477081,3,,,,,,,,"In accordance with rule 39 of the Council?€?s
provisional rules of procedure, I invite Her Excellency
Ms. Joanne Adamson, Charg?? d?€?affaires a.i. of the
delegation of the European Union to the United Nations,
to participate in this meeting.

The Security Council will now begin its
consideration of the item on its agenda.

Members of the Council have before them document
S/2018/198, which contains the text of a draft resolution
submitted by the Netherlands.

I wish to draw the attention of Council members to
document S/2018/165, which contains the report of the
Secretary-General on the situation in Afghanistan and
its implications for international peace and security.

The Council is ready to proceed to the vote on the
draft resolution before it. I shall put the draft resolution
to the vote now."
5,Afghanistan_Situation_1477081,4,,,,,,,,"A vote was taken by show of hands.

In favour:
Bolivia (Plurinational State of), China, Cd??dte
dIvoire, Equatorial Guinea, Ethiopia, France,
Kazakhstan, Kuwait, Netherlands, Peru, Poland,
Russian Federation, Sweden, United Kingdom of
Great Britain and Northern Ireland and United
States of America"
6,Afghanistan_Situation_1477081,5,,,,,,,,"The President: The result of the voting is as
follows. The draft resolution received 15 votes in favour.
The draft resolution has been adopted unanimously as
resolution 2405 (2018).

Recalling the Security Council?€?s latest note 507 on
its working methods (S/2017/507), I wish to encourage
all participants, both members and non-members of the
Council, to deliver their statements in five minutes or
less. Note 507 also encourages briefers to be succinct and
to focus on key issues. Briefers are further encouraged
to limit initial remarks to 15 minutes or less."
7,Afghanistan_Situation_1477081,6,,,,,,,,"I now give the floor to Mr. Yamamoto.

Mr. Yamamoto: I would like to thank you, Madam
President, for scheduling this meeting on Afghanistan
on International Women?€?s Day. I wish to express my
appreciation for Minister Kaag?€?s initiative to lead an
all-women delegation today and to encourage other
members to do the same. I am also very pleased that
the Afghan delegation is joined today by Ms. Sarabi
and Ms. Safi. They are two women with distinguished
careers in working for the advancement of peace
in Afghanistan."
8,Afghanistan_Situation_1477081,7,,,,,,,,"The members of the Council witnessed for
themselves the importance of women?€?s rights and
women?€?s empowerment during their recent visit to
Kabul. I am sure that they were deeply impressed, as I
am, by the resilience of Afghan women, whose strength
holds the fabric of society together. I will touch on
the women, peace and security agenda throughout
my briefing."
9,Afghanistan_Situation_1477081,8,,,,,,,,"A week ago, Afghanistan successfully hosted the
second conference of the Kabul Process for peace and
security. All conference participants endorsed the call
for direct talks between the Government and the Taliban
without preconditions. All relevant parties, including
the Taliban, agree that a negotiated political settlement
is the way to bring an end to the conflict."
10,Afghanistan_Situation_1477081,9,,,,,,,,"President Ashraf Ghani offered peace to the
Taliban without preconditions and laid out a path for
negotiations, with a series of concrete proposals, to"
